country,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,year,region
Rwanda,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,2015,Sub-Saharan Africa
Benin,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,2015,Sub-Saharan Africa
Syria,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,2015,NA
Burundi,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,2015,Sub-Saharan Africa
Togo,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681000000000001,2015,Sub-Saharan Africa
Denmark,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2016,Western Europe
Switzerland,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2016,Western Europe
Iceland,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2016,Western Europe
Norway,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2016,Western Europe
Finland,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2016,Western Europe
Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2016,North America and ANZ
Netherlands,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2016,Western Europe
New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2016,North America and ANZ
Australia,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2016,North America and ANZ
Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2016,Western Europe
Israel,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,2016,Middle East and North Africa
Austria,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2016,Western Europe
United States,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2016,North America and ANZ
Costa Rica,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,2016,Latin America and Caribbean
Puerto Rico,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,2016,NA
Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2016,Western Europe
Brazil,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,2016,Latin America and Caribbean
Belgium,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2016,Western Europe
Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2016,Western Europe
Luxembourg,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2016,Western Europe
Mexico,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,2016,Latin America and Caribbean
Singapore,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,2016,Southeast Asia
United Kingdom,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2016,Western Europe
Chile,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2016,Latin America and Caribbean
Panama,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,2016,Latin America and Caribbean
Argentina,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,2016,Latin America and Caribbean
Czech Republic,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2016,Central and Eastern Europe
United Arab Emirates,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2016,Middle East and North Africa
Uruguay,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2016,Latin America and Caribbean
Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,2016,Western Europe
Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,2016,Latin America and Caribbean
France,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2016,Western Europe
Thailand,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2016,Southeast Asia
Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2016,Middle East and North Africa
Taiwan,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2016,NA
Qatar,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,2016,NA
Spain,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2016,Western Europe
Algeria,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,2016,Middle East and North Africa
Guatemala,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,2016,Latin America and Caribbean
Suriname,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,2016,NA
Kuwait,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2016,Middle East and North Africa
Bahrain,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2016,Middle East and North Africa
Trinidad and Tobago,6.168,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2016,NA
Venezuela,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2016,Latin America and Caribbean
Slovakia,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2016,Central and Eastern Europe
El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,2016,Latin America and Caribbean
Malaysia,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2016,Southeast Asia
Nicaragua,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2016,Latin America and Caribbean
Uzbekistan,5.987,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2016,Commonwealth of Independent States
Italy,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2016,Western Europe
Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2016,Latin America and Caribbean
Belize,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,2016,NA
Japan,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,2016,East Asia
Kazakhstan,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2016,Commonwealth of Independent States
Moldova,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,2016,Commonwealth of Independent States
Russia,5.856,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2016,Commonwealth of Independent States
Poland,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2016,Central and Eastern Europe
South Korea,5.835,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2016,East Asia
Bolivia,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2016,Latin America and Caribbean
